date,market_price_usd,tx_volume_usd,tx_count,hash_rate,avg_tx_value_usd
2024-11-15,87292.03,19113942083.20821,562223.0,757933800.7471123,213545.51076663993
2024-11-16,91063.24,5256303046.01382,602655.0,793304044.7819778,57747.46642459999
2024-11-17,90562.03,3315738679.512714,598496.0,757933800.7471123,36667.43270355999
2024-11-18,89829.32,,673308.0,789177471.4803329,
2024-11-19,90540.98,17907534161.0051,810805.0,889845955.1158988,193868.81523410988
2024-11-20,92369.46,19928511810.876366,664866.0,747470602.2973549,212773.16144751993
2024-11-21,94354.43,24042155708.5233,498512.0,732216100.2096539,247507.81219866002
2024-11-22,98501.47,18925420304.096355,540305.0,727131266.1804202,191975.14145345998
2024-11-23,99011.58,11273319452.938,444699.0,701707096.0342517,115004.59423768
2024-11-24,97776.94,8444664449.542644,463289.0,681367759.9173166,87102.56804205995
2024-11-25,98042.92,19031989883.548634,604870.0,859336950.9404964,198415.30159005994
2024-11-26,93003.21,21331421147.908745,475689.0,706791930.0634853,229069.1265728399
2024-11-27,91968.35,12555140763.385523,462119.0,676282925.8880831,133068.16330105002
2024-11-28,95956.99,9708469422.03239,523480.0,722046432.1511863,101672.42717471997
2024-11-29,95651.51,12049106760.35298,341781.0,615264917.5372787,123952.37275469
2024-11-30,97503.54,4308785753.686624,640943.0,833912780.7943279,44529.427137139995
2024-12-01,96450.08,4169328992.6346917,698223.0,803403776.6189257,42943.048817920004
2024-12-02,97273.62,16936998791.826956,311811.0,649582756.2207783,175571.61223843996
2024-12-03,95857.16,13405989744.175869,439519.0,811042070.6273791,140399.19157464997
2024-12-04,95941.45,13935666799.866549,502912.0,759383340.0141702,144309.16401188995
2024-12-05,98768.81,22269535612.85755,512490.0,800710324.5047373,220681.90157122992
2024-12-06,97079.54,17888033885.907677,414643.0,702558736.3396405,179984.69814465998
2024-12-07,99888.14,5418124415.8528185,456101.0,733553974.7075658,54293.523291100006
2024-12-08,99914.34,3771799971.244733,420320.0,754217466.9528493,37751.26231706002
2024-12-09,101179.58,16893586741.251682,403264.0,862700801.2405878,171836.79277973
2024-12-10,97465.55,12979843425.395798,441944.0,795544451.4434165,134106.56796057997
2024-12-11,96653.46,21037350757.179394,481168.0,733553974.7075658,211882.75240957004
2024-12-12,101191.95,17239165427.918285,474978.0,764549213.0754911,171060.9984024699
2024-12-13,100040.86,17652553064.867294,523585.0,878198420.4245505,175472.56712800002
2024-12-14,101467.53,5353586265.646702,517482.0,821373816.7500207,52757.22398996994
2024-12-15,101404.33,6822123118.7715025,378527.0,707724609.4009614,66749.25756767998
2024-12-16,104342.21,19489912898.92708,412747.0,796354777.917631,185055.06768817003
2024-12-17,106059.49,16038288677.469349,419707.0,733677850.1420219,150308.18660493003
2024-12-18,106156.01,16000954252.851433,414366.0,776835370.7386113,154047.10225663
2024-12-19,100157.34,19125758841.63413,437574.0,782230060.8131851,190867.64811826995
2024-12-20,97470.38,16133797899.628603,398670.0,814598201.2606272,167496.86974851994
2024-12-21,97768.78,6882358327.448823,330225.0,782230060.8131851,70497.24641687998
2024-12-22,97226.54,3340023325.9010005,336217.0,836176961.5589218,34677.85720712002
2024-12-23,95094.78,12473533243.122515,292681.0,749861920.3657429,132317.31250849998
2024-12-24,94715.72,11564062010.09304,326570.0,712099089.8437271,120444.23734777998
2024-12-25,98613.53,5466163116.674572,405831.0,814598201.2606272,55509.37289147999
2024-12-26,99300.12,8493106621.658707,298916.0,706704399.7691535,87840.66624349002
